label x Gender Gender_ID Greek Home_Town In_State Ethnicity Religion Religious like_Math Calculus ACT GPA Party_Hours_per_week Drinks_per_week Sex_Partners Relationships Call_Parents Social_Media Texts Good_or_Well Expected_Income President Illinois_Commitment Family_Income Liberal Political_Party Grade_vs_Learning Parent_Relationship Work_Hours Tuition Career Section
Obs42 42 1 1 1 2 1 2 5 4 5 1 27 3.3 10 12 0 0 4 5 5 5 100 5 9 60 3 0 4 7 0 0 3 1 
Obs43 43 1 1 0 3 1 1 0 7 4 0 25 3.3 2 1 1 1 50 5 4 5 150 2 10 75 6 0 5 10 10 20 10 1 
Obs44 44 1 1 0 2 1 0 0 5 8 1 24 2.7 21 10 4 0 4 2 6 6 75 1 10 55 6 1 5 8 0 0 7 1 
Obs45 45 1 1 0 2 1 5 7 0 1 0 31 3.7 10 6 2 2 1 2 4 5 75 2 8 110 3 0 4 8 20 90 2 1 
Obs46 46 0 0 0 2 1 0 6 1 4 0 22 3.2 0 2 7 3 1 0 3 5 350 6 10 50 5 2 8 6 0 10 5 1 
Obs47 47 1 1 1 2 1 0 0 5 2 0 28 3.7 6 6 5 0 4 3 10 4 150 2 5 400 2 0 3 5 0 100 3 1 
Obs48 48 0 0 0 3 1 1 5 7 8 1 25 3.4 1 0 1 2 3 5 4 10 250 5 8 78 6 0 9 8 10 0 10 1 
Obs49 49 1 1 0 0 1 0 7 0 3 0 25 3.6 0 0 15 1 3 4 10 0 100 2 10 100 0 0 5 10 20 0 10 1 
Obs50 50 0 0 1 2 1 0 1 4 5 1 27 3.6 3 2 3 2 1 2 2 2 400 2 10 100 3 0 3 5 0 20 10 1 
Obs51 51 1 1 0 2 1 3 0 7 9 1 18 3.4 0 0 1 1 2 8 4 5 100 6 4 170 5 0 5 6 0 100 8 1 
Obs52 52 0 0 0 2 1 0 6 0 2 1 28 2.8 0 0 1 1 1 2 3 5 5000 5 2 550 5 4 4 7 0 0 1 1 
Obs53 53 0 0 0 3 1 3 7 0 10 1 30 3.2 0 0 0 0 0 10 0 8 30 6 3 50 5 0 10 0 0 0 0 1 
Obs54 54 1 1 1 2 1 0 1 6 6 0 25 4 10 6 1 1 10 4 18 5 200 6 6 500 1 0 3 10 0 100 1 1 
Obs55 55 0 0 1 3 1 2 5 5 7 0 21 2.7 6 20 6 1 8 5 10 10 65 6 10 55 5 1 7 8 0 0 5 1 
Obs56 56 0 0 0 3 0 3 4 4 1 1 29 4 0 0 0 0 1 10 4 7 150 5 7 100 4 5 5 7 10 100 3 1 
Obs57 57 1 1 0 3 1 2 0 9 6 1 28 2.7 1 5 9 2 7 2 3 0 50 2 0 20 3 0 6 8 20 0 5 1 
Obs58 58 1 1 0 2 1 0 0 3 7 0 25 3.5 2 0 1 1 6 2 5 5 57 2 7 70 4 1 5 8 0 80 7 1 
Obs59 59 1 1 0 3 1 2 6 1 0 0 23 3 0 0 3 1 7 10 1 5 100 5 6 60 2 0 2 8 25 0 4 1 
